id;name;production_start_date;production_end_date;make_id
1;126p;1972-04-26T09:50:58;2000-04-26T12:07:11;1
2;Corsa;1990-04-25T20:25:51;1997-04-26T05:23:41;2
3;300D;1970-04-26T03:15:31;1986-04-26T17:15:03;3
4;1;2000-04-26T05:32:15;2009-04-25T20:00:30;4
5;353;1966-04-26T14:14:50;1969-04-25T20:51:20;5
6;ZN;1980-04-26T09:12:54;1984-04-26T10:22:09;6
7;Honker;2000-04-26T11:50:08;2009-04-26T02:58:14;7
8;266;1973-04-26T05:49:25;2000-04-26T05:32:10;8
9;601;1963-04-26T00:15:36;1990-04-25T21:46:56;9
10;1100;1968-04-26T11:43:11;1971-04-26T12:49:12;10
