id;name;description;price;available;shipping_time;model_id
1;steering wheel;Applications Beauty;4167;false;10;1
2;bearing;Lead;43718;true;15;2
3;exhaust;Pound Sterling enhance Communications;84161;true;5;3
4;alternator;feed SQL;79093;true;8;4
5;filter;primary;87239;true;2;5
6;suspension arm;open architecture;46005;false;14;6
7;alternator;THX Toys Small;65035;true;2;7
8;starter;Realigned Vermont Cotton;42171;true;14;8
9;oil bolt;program;75218;false;5;9
10;steering wheel;Visionary;54582;true;10;10

